stanowisko_id|nazwa|opis
1|Programista|Osoba odpowiedzialna za tworzenie i utrzymywanie oprogramowania
2|Analityk|Osoba analizująca wymagania i projektująca rozwiązania
3|Tester|Osoba odpowiedzialna za testowanie oprogramowania
4|Project Manager|Osoba zarządzająca projektem
5|DevOps|Osoba odpowiedzialna za wdrażanie i utrzymanie infrastruktury
6|UX Designer|Osoba projektująca interfejs użytkownika
7|Administrator|Osoba zarządzająca systemami informatycznymi
8|Kierownik|Osoba zarządzająca zespołem
9|Specjalista|Ekspert w danej dziedzinie
10|Praktykant|Osoba odbywająca praktyki lub staż
